



name                                 #n       tsub       ttot       tavg
..OU-PROJECT/events.py.leftPressed:4 510      0.000990   0.000990   0.000002   
..packages/pkg_resources.py._has:126 46       0.000203   0.000957   0.000021   
..sre_compile.py._compile_charset:18 23       0.000270   0.000952   0.000041   
..thon2.6/sre_parse.py._parse_sub:30 36       0.000332   0.000869   0.000024   
..b/python2.6/sre_parse.py._parse:38 44       0.000000   0.000812   0.000018   
..-PROJECT/EntityTypes.py.__init__:8 25       0.000125   0.000782   0.000031   
..ib/python2.6/sre_parse.py.match:20 177      0.000375   0.000772   0.000004   
..packages/pkg_resources.py._get:128 17       0.000139   0.000768   0.000045   
..g_resources.py.file_ns_handler:180 19       0.000189   0.000755   0.000040   
..ib/python2.6/threading.py.start:46 2        0.000037   0.000746   0.000373   
../python2.6/posixpath.py.dirname:11 56       0.000431   0.000723   0.000013   
../python2.6/sre_parse.py.__len__:13 165      0.000487   0.000716   0.000004   
..it/NANHOU-PROJECT/level.py.getVel: 25       0.000145   0.000706   0.000028   
..lib/python2.6/random.py.<module>:4 1        0.000512   0.000691   0.000691   
..n2.6/distutils/errors.py.<module>: 1        0.000651   0.000686   0.000686   
..sr/lib/python2.6/stat.py.S_ISDIR:4 134      0.000450   0.000663   0.000005   
..lib/python2.6/threading.py.wait:39 2        0.000019   0.000592   0.000296   
..re_compile.py._optimize_charset:21 23       0.000392   0.000582   0.000025   
..lib/python2.6/threading.py.wait:23 2        0.000352   0.000567   0.000284   
..b/python2.6/random.py.randrange:16 50       0.000307   0.000561   0.000011   
..thon2.6/pkgutil.py.get_importer:35 87       0.000419   0.000551   0.000006   
..ECT/engine.py.startEngineThread:12 1        0.000012   0.000539   0.000539   
..U-PROJECT/events.py.startThread:13 1        0.000023   0.000528   0.000528   
..b/python2.6/sre_parse.py.append:14 102      0.000340   0.000491   0.000005   
..CT/engine.py.handleReleaseItems:26 79       0.000362   0.000480   0.000006   
..es/pygame/pkgdata.py.getResource:3 1        0.000007   0.000466   0.000466   
..ython2.6/sre_parse.py.closegroup:8 23       0.000074   0.000435   0.000019   
..ANHOU-PROJECT/animation.py.start:3 226      0.000432   0.000432   0.000002   
..ython2.6/sre_compile.py._simple:36 37       0.000216   0.000431   0.000012   
..thon2.6/collections.py.<genexpr>:4 99       0.000290   0.000416   0.000004   
